,date_time,mean,sum,max,min,count
41,2023-03-11,0.61,1.22,1.03,0.19,2
42,2023-03-12,1.35,1.35,1.35,1.35,1
43,2023-03-13,9.92,9.92,9.92,9.92,1
44,2023-03-14,8.97,8.97,8.97,8.97,1
45,2023-03-15,1.08,1.08,1.08,1.08,1
46,2023-03-17,3.39,3.39,3.39,3.39,1
47,2023-03-21,1.04,1.04,1.04,1.04,1
48,2023-03-23,1.77,1.77,1.77,1.77,1
49,2023-03-24,9.42,9.42,9.42,9.42,1
50,2023-03-25,5.11,5.11,5.11,5.11,1
51,2023-03-26,5.45,10.9,9.33,1.57,2
52,2023-03-27,1.04,1.04,1.04,1.04,1
53,2023-03-29,5.86,11.72,8.81,2.91,2
54,2023-03-30,6.35,6.35,6.35,6.35,1
55,2023-04-04,3.3375,13.35,7.23,0.51,4
56,2023-04-05,3.365,6.73,5.11,1.62,2
57,2023-04-06,7.203333333333333,21.61,9.78,4.6,3
58,2023-04-08,8.0,8.0,8.0,8.0,1
59,2023-04-10,6.16,6.16,6.16,6.16,1
60,2023-04-14,6.52,6.52,6.52,6.52,1
61,2023-04-16,9.28,9.28,9.28,9.28,1
62,2023-04-17,2.9299999999999997,5.859999999999999,3.08,2.78,2
63,2023-04-18,6.763333333333333,20.29,8.03,5.24,3
64,2023-04-20,4.109999999999999,8.219999999999999,4.52,3.7,2
65,2023-04-23,2.5766666666666667,7.73,3.84,1.12,3
66,2023-04-24,5.5,11.0,7.0,4.0,2
67,2023-04-26,5.3,5.3,5.3,5.3,1
68,2023-04-28,8.98,8.98,8.98,8.98,1
69,2023-04-29,6.91,6.91,6.91,6.91,1
70,2023-05-01,4.92,4.92,4.92,4.92,1
71,2023-05-04,4.4875,17.95,6.41,3.63,4
72,2023-05-06,0.13,0.13,0.13,0.13,1
73,2023-05-07,1.915,3.83,3.02,0.81,2
74,2023-05-08,8.48,8.48,8.48,8.48,1
75,2023-05-12,9.02,9.02,9.02,9.02,1
76,2023-05-13,4.153333333333333,12.459999999999999,9.6,0.51,3
77,2023-05-14,0.97,0.97,0.97,0.97,1
78,2023-05-18,4.84,4.84,4.84,4.84,1
79,2023-05-21,1.58,1.58,1.58,1.58,1
80,2023-05-22,7.84,7.84,7.84,7.84,1
81,2023-05-23,6.16,6.16,6.16,6.16,1
82,2023-05-24,4.31,4.31,4.31,4.31,1
83,2023-05-25,1.87,1.87,1.87,1.87,1
84,2023-05-26,5.595,11.19,7.33,3.86,2
85,2023-05-27,1.31,1.31,1.31,1.31,1
86,2023-05-28,6.28,25.12,9.74,2.29,4
87,2023-06-02,6.715,13.43,6.95,6.48,2
88,2023-06-04,3.96,3.96,3.96,3.96,1
89,2023-06-06,2.58,2.58,2.58,2.58,1
90,2023-06-11,6.9399999999999995,13.879999999999999,7.3,6.58,2
91,2023-06-13,8.84,8.84,8.84,8.84,1
92,2023-06-14,4.68,4.68,4.68,4.68,1
93,2023-06-15,4.5,4.5,4.5,4.5,1
94,2023-06-17,8.81,8.81,8.81,8.81,1
95,2023-06-20,4.3,4.3,4.3,4.3,1
96,2023-06-21,7.12,7.12,7.12,7.12,1
97,2023-06-23,7.8,7.8,7.8,7.8,1
98,2023-06-26,5.3,5.3,5.3,5.3,1
99,2023-06-28,8.17,8.17,8.17,8.17,1
100,2023-06-29,1.82,1.82,1.82,1.82,1
101,2023-06-30,6.73,6.73,6.73,6.73,1
102,2023-07-02,1.54,1.54,1.54,1.54,1
103,2023-07-03,5.35,10.7,6.65,4.05,2
104,2023-07-05,3.84,3.84,3.84,3.84,1
105,2023-07-06,4.994999999999999,9.989999999999998,8.28,1.71,2
106,2023-07-09,9.34,9.34,9.34,9.34,1
107,2023-07-10,4.89,4.89,4.89,4.89,1
108,2023-07-12,2.26,2.26,2.26,2.26,1
109,2023-07-14,2.25,2.25,2.25,2.25,1
110,2023-07-19,4.715,9.43,7.25,2.18,2
111,2023-07-20,0.12,0.12,0.12,0.12,1
112,2023-07-21,7.51,7.51,7.51,7.51,1
113,2023-07-22,4.92,4.92,4.92,4.92,1
114,2023-07-23,4.52,4.52,4.52,4.52,1
115,2023-07-24,6.98,6.98,6.98,6.98,1
116,2023-07-25,8.33,8.33,8.33,8.33,1
117,2023-07-26,9.68,9.68,9.68,9.68,1
118,2023-07-28,5.9625,23.85,8.03,3.3,4
119,2023-07-30,1.3,1.3,1.3,1.3,1
120,2023-07-31,0.875,1.75,1.06,0.69,2
121,2023-08-01,5.48,5.48,5.48,5.48,1
122,2023-08-02,4.06,4.06,4.06,4.06,1
123,2023-08-04,0.72,0.72,0.72,0.72,1
124,2023-08-08,3.4299999999999997,6.859999999999999,6.43,0.43,2
125,2023-08-11,7.055,14.11,8.43,5.68,2
126,2023-08-12,0.08,0.08,0.08,0.08,1
127,2023-08-14,3.1550000000000002,6.3100000000000005,5.0,1.31,2
128,2023-08-15,9.95,9.95,9.95,9.95,1
129,2023-08-16,3.72,3.72,3.72,3.72,1
130,2023-08-17,1.14,1.14,1.14,1.14,1
131,2023-08-18,4.495,8.99,7.93,1.06,2
132,2023-08-19,3.1533333333333338,9.46,6.44,0.23,3
133,2023-08-22,4.62,9.24,7.79,1.45,2
134,2023-08-25,3.72,3.72,3.72,3.72,1
135,2023-08-26,8.73,8.73,8.73,8.73,1
136,2023-08-27,7.595,15.19,7.8,7.39,2
137,2023-08-28,0.27,0.27,0.27,0.27,1
138,2023-08-30,6.15,6.15,6.15,6.15,1
139,2023-09-02,2.56,2.56,2.56,2.56,1
140,2023-09-03,7.0649999999999995,14.129999999999999,8.77,5.36,2
141,2023-09-06,3.68,3.68,3.68,3.68,1
142,2023-09-07,6.19,6.19,6.19,6.19,1
143,2023-09-11,6.06,12.12,9.53,2.59,2
144,2023-09-14,7.29,7.29,7.29,7.29,1
145,2023-09-15,6.53,6.53,6.53,6.53,1
146,2023-09-16,7.88,7.88,7.88,7.88,1
147,2023-09-17,6.353333333333334,19.060000000000002,7.16,5.62,3
148,2023-09-20,8.99,8.99,8.99,8.99,1
149,2023-09-22,8.505,17.01,9.55,7.46,2
150,2023-09-23,2.56,2.56,2.56,2.56,1
151,2023-09-24,3.98,7.96,7.77,0.19,2
152,2023-09-29,3.16,3.16,3.16,3.16,1
153,2023-09-30,3.723333333333334,11.170000000000002,9.3,0.01,3
154,2023-10-01,5.32,5.32,5.32,5.32,1
155,2023-10-04,0.775,1.55,1.44,0.11,2
156,2023-10-05,0.72,0.72,0.72,0.72,1
157,2023-10-09,6.885,13.77,9.62,4.15,2
158,2023-10-10,9.36,9.36,9.36,9.36,1
159,2023-10-12,4.9,4.9,4.9,4.9,1
160,2023-10-17,4.796666666666667,14.39,8.47,2.69,3
161,2023-10-18,7.27,7.27,7.27,7.27,1
162,2023-10-19,3.7300000000000004,7.460000000000001,4.32,3.14,2
163,2023-10-20,1.11,1.11,1.11,1.11,1
164,2023-10-21,4.375,17.5,9.57,1.56,4
165,2023-10-22,1.0,1.0,1.0,1.0,1
166,2023-10-23,4.57,4.57,4.57,4.57,1
167,2023-10-28,2.91,8.73,5.04,1.45,3
168,2023-11-02,1.17,1.17,1.17,1.17,1
169,2023-11-05,6.6,6.6,6.6,6.6,1
170,2023-11-06,6.285,12.57,8.74,3.83,2
171,2023-11-07,7.19,7.19,7.19,7.19,1
172,2023-11-09,0.19,0.19,0.19,0.19,1
173,2023-11-11,7.77,15.54,7.91,7.63,2
174,2023-11-12,6.26,6.26,6.26,6.26,1
175,2023-11-13,6.53,6.53,6.53,6.53,1
176,2023-11-14,5.609999999999999,16.83,6.11,4.95,3
177,2023-11-15,3.23,3.23,3.23,3.23,1
178,2023-11-16,4.420000000000001,13.260000000000002,8.3,2.07,3
179,2023-11-18,0.83,0.83,0.83,0.83,1
180,2023-11-21,5.31,5.31,5.31,5.31,1
181,2023-11-23,0.45,0.45,0.45,0.45,1
182,2023-11-25,5.880000000000001,11.760000000000002,7.32,4.44,2
183,2023-11-26,9.02,9.02,9.02,9.02,1
184,2023-11-28,4.21,4.21,4.21,4.21,1
185,2023-11-29,2.82,5.64,4.79,0.85,2
186,2023-11-30,1.27,1.27,1.27,1.27,1
187,2023-12-01,6.16,6.16,6.16,6.16,1
188,2023-12-02,2.78,5.56,3.59,1.97,2
189,2023-12-03,1.37,1.37,1.37,1.37,1
190,2023-12-05,8.370000000000001,16.740000000000002,9.47,7.27,2
191,2023-12-06,6.66,6.66,6.66,6.66,1
192,2023-12-07,3.535,7.07,4.99,2.08,2
193,2023-12-10,5.49,10.98,7.16,3.82,2
194,2023-12-11,9.93,9.93,9.93,9.93,1
195,2023-12-13,3.0,3.0,3.0,3.0,1
196,2023-12-15,2.325,4.65,2.63,2.02,2
197,2023-12-17,3.16,3.16,3.16,3.16,1
198,2023-12-19,0.63,0.63,0.63,0.63,1
199,2023-12-22,4.86,4.86,4.86,4.86,1
200,2023-12-25,1.9,1.9,1.9,1.9,1
201,2023-12-28,4.43,4.43,4.43,4.43,1
202,2024-01-01,3.76,3.76,3.76,3.76,1
